timestamp;bitrate
1727705850210;63.00
1727705851184;60.00
1727705852197;59.00
1727705853184;62.00
1727705854199;60.00
1727705855196;61.00
1727705856184;62.00
1727705857196;62.00
1727705858184;63.00
1727705859185;60.00
1727705860196;61.00
1727705861199;62.00
1727705862184;64.00
1727705863184;61.00
1727705864184;63.00
1727705865199;62.00
1727705866207;37.00
1727705867200;0.00
1727705868196;0.00
1727705869206;0.00
1727705870213;0.00
1727705871204;0.00
1727705872202;0.00
